wallet,coin,hl_side,pm_direction,pm_question,pm_buy_timestamp,hl_open_timestamp,entry_gap_days,entry_order,pm_end_date,hl_close_timestamp,exit_gap_days,exit_order,pm_buy_price,pm_dollar_spent,hl_notional,hl_realized_pnl
0x2b64ea69157d6c6ddfe90a906f2eb235d25b21b6,NVDA,Short,Bullish,Will NVIDIA (NVDA) close at $190–195 in 2025?,2025-11-29 21:55:37+00:00,2025-11-21 14:03:03.889000+00:00,-8.3,HL first,,2025-12-26 17:18:05.436000+00:00,,Unknown,0.09,2.0,207.78,-3.84
0x2b64ea69157d6c6ddfe90a906f2eb235d25b21b6,NVDA,Short,Bullish,Will NVIDIA (NVDA) close at $195–200 in 2025?,2025-11-29 21:55:13+00:00,2025-11-21 14:03:03.889000+00:00,-8.3,HL first,,2025-12-26 17:18:05.436000+00:00,,Unknown,0.09,2.0,207.78,-3.84
0xdd5fc1676f84019ce3cffa6f52c3060363407c0e,NVDA,Long,Bearish,Will NVIDIA (NVDA) close above $150 end of November?,2025-11-19 19:12:53+00:00,2025-11-19 14:51:05.836000+00:00,-0.2,HL first,,2025-11-19 22:04:17.739000+00:00,,Unknown,0.0485,5.0,4089.28,223.78
0xdd5fc1676f84019ce3cffa6f52c3060363407c0e,NVDA,Long,Bearish,Will NVIDIA (NVDA) close above $170 end of November?,2025-11-19 19:12:37+00:00,2025-11-19 14:51:05.836000+00:00,-0.2,HL first,,2025-11-19 22:04:17.739000+00:00,,Unknown,0.24,5.0,4089.28,223.78
0xdd5fc1676f84019ce3cffa6f52c3060363407c0e,NVDA,Long,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-17 21:42:31+00:00,2025-11-19 14:51:05.836000+00:00,1.7,PM first,,2025-11-19 22:04:17.739000+00:00,,Unknown,0.08,5.0,4089.28,223.78
0xdd5fc1676f84019ce3cffa6f52c3060363407c0e,NVDA,Long,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-13 13:58:08+00:00,2025-11-19 14:51:05.836000+00:00,6.0,PM first,,2025-11-19 22:04:17.739000+00:00,,Unknown,0.09,5.0,4089.28,223.78
0xdd5fc1676f84019ce3cffa6f52c3060363407c0e,NVDA,Long,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-11 13:23:25+00:00,2025-11-19 14:51:05.836000+00:00,8.1,PM first,,2025-11-19 22:04:17.739000+00:00,,Unknown,0.1452,5.0,4089.28,223.78
0x947db9d96aea1650d4879eba95e0d6aa0dd93e90,NVDA,Short,Bullish,Will NVIDIA (NVDA) hit $165 before 2026??,2025-12-17 15:41:38+00:00,2025-11-20 08:46:57.892000+00:00,-27.3,HL first,,2025-12-04 09:59:06.668000+00:00,,Unknown,0.34,68.0,199.76,43.46
0x947db9d96aea1650d4879eba95e0d6aa0dd93e90,NVDA,Short,Bullish,Will NVIDIA (NVDA) hit $165 before 2026??,2025-12-16 03:20:19+00:00,2025-11-20 08:46:57.892000+00:00,-25.8,HL first,,2025-12-04 09:59:06.668000+00:00,,Unknown,0.3,30.0,199.76,43.46
0x947db9d96aea1650d4879eba95e0d6aa0dd93e90,NVDA,Short,Bullish,Will NVIDIA (NVDA) hit $160 before 2026??,2025-12-01 09:50:58+00:00,2025-11-20 08:46:57.892000+00:00,-11.0,HL first,,2025-12-04 09:59:06.668000+00:00,,Unknown,0.4,28.86,199.76,43.46
0xa155ca5ecc705be8a8af4a90a26105c9ea02bf9e,AAPL,Long,Bearish,Tim Cook out as Apple CEO in 2025?,2025-12-16 09:28:57+00:00,2025-12-02 20:23:30.007000+00:00,-13.5,HL first,,2025-12-03 11:59:36.515000+00:00,,Unknown,0.991,11.0,111.65,-2.4
0xa155ca5ecc705be8a8af4a90a26105c9ea02bf9e,AAPL,Long,Bearish,Will Apple acquire Perplexity in 2025?,2025-11-06 15:47:53+00:00,2025-12-02 20:23:30.007000+00:00,26.2,PM first,,2025-12-03 11:59:36.515000+00:00,,Unknown,0.95,5.0,111.65,-2.4
0xbb999dd40dbd4be23a6b76ba65b94be3d817d8ac,AAPL,Long,Bearish,Will Apple be the largest company in the world by market cap on November 30?,2025-11-19 20:53:09+00:00,2025-11-28 14:53:12.480000+00:00,8.8,PM first,,2026-05-18 15:19:24.988000+00:00,,Unknown,0.942,9.42,598.9,4.47
0xbb999dd40dbd4be23a6b76ba65b94be3d817d8ac,GOOGL,Short,Bullish,Will Google (GOOGL) close above $260 end of December?,2025-12-22 13:31:53+00:00,2025-11-24 15:52:43.751000+00:00,-27.9,HL first,,2026-05-13 16:14:11.195000+00:00,,Unknown,0.996,9.96,199.91,-12.33
0xfece5d531c16508de2bd445e772e51d143c0d147,GOOGL,Short,Bullish,Will Google (GOOGL) close above $220 end of November?,2025-11-22 09:26:05+00:00,2025-11-24 20:01:28.071000+00:00,2.4,PM first,,2026-02-03 14:33:38.659000+00:00,,Unknown,0.997,20.0,40.45,-52.1
0xfece5d531c16508de2bd445e772e51d143c0d147,META,Short,Bullish,Will Meta reach $960 in November?,2025-11-09 12:56:11+00:00,2025-11-21 18:30:41.845000+00:00,12.2,PM first,2025-12-01 04:59:59.999000+00:00,2025-11-24 19:08:47.273000+00:00,-6.4,HL first,0.01,5.0,216.08,-8.64
0xfa4efb76f67bfe940d026adace39a8dac1df3b76,NVDA,Long,Bearish,Will NVIDIA dip to $144 in November?,2025-11-05 07:45:53+00:00,2025-11-20 12:23:02.975000+00:00,15.2,PM first,2025-12-01 04:59:59.999000+00:00,2026-06-15 12:33:35.207000+00:00,196.3,PM first,0.0391,10.0,23.46,-2.29
0xfa4efb76f67bfe940d026adace39a8dac1df3b76,NVDA,Long,Bearish,Will NVIDIA dip to $124 in November?,2025-11-05 07:45:43+00:00,2025-11-20 12:23:02.975000+00:00,15.2,PM first,2025-12-01 04:59:59.999000+00:00,2026-06-15 12:33:35.207000+00:00,196.3,PM first,0.025,10.0,23.46,-2.29
0xdc04703855a5fd08f577a22f987fb41e49348a9a,GOOGL,Short,Bullish,Will Google (GOOGL) hit $290 before 2026??,2025-12-12 15:51:12+00:00,2025-12-08 16:10:50.252000+00:00,-4.0,HL first,,2026-02-06 01:46:33.036000+00:00,,Unknown,0.4338,20.0,11.04,2038.97
0xd71a41ec000089ae99873afb4d15cc7d54dd95bc,MSFT,Short,Bullish,Will Microsoft be the second-largest company in the world by market cap on November 30?,2025-11-16 01:32:17+00:00,2025-11-20 18:09:53.297000+00:00,4.7,PM first,,2025-12-03 18:11:42.147000+00:00,,Unknown,0.08,5.0,241.0,-552.84
0x2203e88248a59eec300f2bffecceabe29e0986b4,AMZN,Long,Bearish,Will Amazon be the largest company in the world by market cap on March 31?,2026-03-21 19:44:33+00:00,2025-11-28 16:09:20.756000+00:00,-113.1,HL first,,2025-12-05 16:13:44.961000+00:00,,Unknown,0.999,5.0,696.63,-4.76
0x2b722ee9a9932ead52af0586fdb545eb8758de68,GOOGL,Long,Bearish,Will Google (GOOGL) hit $335 before 2026??,2025-12-02 09:56:36+00:00,2025-12-02 10:00:23.153000+00:00,0.0,PM first,,2025-12-17 14:38:14.155000+00:00,,Unknown,0.44,39.6,346.87,-43.24
0x57fc5d089f5aecf327b40472bcf52f52cf31928a,NVDA,Short,Bullish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-19 21:03:39+00:00,2025-11-13 03:09:36.544000+00:00,-6.7,HL first,,2026-01-08 17:30:02.905000+00:00,,Unknown,0.927,100.0,20.73,-691.99
0x57fc5d089f5aecf327b40472bcf52f52cf31928a,NVDA,Short,Bullish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-19 21:03:27+00:00,2025-11-13 03:09:36.544000+00:00,-6.7,HL first,,2026-01-08 17:30:02.905000+00:00,,Unknown,0.9269,100.0,20.73,-691.99
0x635cb5c09388d295ea7ca55efe8f850c88039ecf,NVDA,Long,Bearish,Will NVIDIA be the second-largest company in the world by market cap on December 31?,2025-12-21 23:02:04+00:00,2025-11-13 12:11:48.510000+00:00,-38.5,HL first,,2026-01-26 10:09:11.491000+00:00,,Unknown,0.966,28.76,68.12,-5.44
0x635cb5c09388d295ea7ca55efe8f850c88039ecf,NVDA,Long,Bearish,Will NVIDIA be the second-largest company in the world by market cap on December 31?,2025-12-20 19:39:49+00:00,2025-11-13 12:11:48.510000+00:00,-37.3,HL first,,2026-01-26 10:09:11.491000+00:00,,Unknown,0.978,27.63,68.12,-5.44
0x80401362dc41308f34195f85fa508695cab4f5eb,NVDA,Long,Bearish,Will NVIDIA (NVDA) close at >$220 in 2025?,2025-11-30 19:18:42+00:00,2025-11-13 07:39:13.333000+00:00,-17.5,HL first,,2025-11-26 14:10:55.417000+00:00,,Unknown,0.95,10.0,500.69,-0.75
0x929d9bc38739d587278b77eb4cd23a027de5b4de,META,Short,Bullish,Will Meta dip to $550 in November?,2025-11-25 04:27:15+00:00,2025-11-20 15:04:15.767000+00:00,-4.6,HL first,2025-12-01 04:59:59.999000+00:00,2025-11-20 15:10:33.854000+00:00,-10.6,HL first,0.98,49.0,213.72,-9.44
0x238ae641390a55969271161401880bb154b06ebe,NVDA,Long,Bearish,Will NVIDIA be the second-largest company in the world by market cap on December 31?,2025-12-18 09:08:08+00:00,2025-11-25 18:28:55.997000+00:00,-22.6,HL first,,2025-11-25 18:30:43.266000+00:00,,Unknown,0.859,20.0,10.93,2.21
0x238ae641390a55969271161401880bb154b06ebe,NVDA,Long,Bearish,Will NVIDIA be the second-largest company in the world by market cap on December 31?,2025-12-17 21:12:07+00:00,2025-11-25 18:28:55.997000+00:00,-22.1,HL first,,2025-11-25 18:30:43.266000+00:00,,Unknown,0.863,5.0,10.93,2.21
0x25484cb3130cfd833c8751266ab95d4c2993700b,TSLA,Long,Bearish,Musk out as Tesla CEO in 2025?,2025-12-10 18:13:02+00:00,2025-12-26 15:10:31.398000+00:00,15.9,PM first,,2025-12-26 15:12:38.516000+00:00,,Unknown,0.989,7.0,1000.18,-6.38
0x392ae4c105bd1ae95ffec05eefe645be3b6e6503,GOOGL,Long,Bearish,Sundar Pichai out as Google CEO in 2025?,2025-12-11 22:56:56+00:00,2025-12-15 11:18:44.630000+00:00,3.5,PM first,,2025-12-15 11:38:19.081000+00:00,,Unknown,0.9898,30.0,49.81,0.77
0x41eb8d19ae61af581833c9e9cbdb25785fc6c08f,NVDA,Short,Bullish,Will NVIDIA (NVDA) close at $185–190 in 2025?,2025-12-03 03:52:01+00:00,2025-12-02 14:00:53.935000+00:00,-0.6,HL first,,2026-01-14 14:31:28.955000+00:00,,Unknown,0.1,5.0,499.76,3.38
0x4f7f36299e4ff4f54352cdd537e4f8d86cb2386c,NVDA,Long,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-19 19:49:11+00:00,2025-11-19 20:06:59.990000+00:00,0.0,PM first,,2025-11-20 09:36:36.844000+00:00,,Unknown,0.1398,100.0,1999.95,360.28
0x4fe2e743da6e8d1aa0c9ed5489d8c2c9b5f96c87,GOOGL,Long,Bearish,Will Google (GOOGL) hit $355 before 2026??,2025-12-01 18:31:32+00:00,2025-11-24 11:36:26.130000+00:00,-7.3,HL first,,2025-11-24 13:47:53.506000+00:00,,Unknown,0.8384,50.0,28.86,389.79
0x585fdb545362bfe550300d851d049244c21fc3d6,AAPL,Short,Bullish,Will Apple be the second-largest company in the world by market cap on December 31?,2025-12-23 19:52:23+00:00,2025-12-23 19:45:08.064000+00:00,-0.0,HL first,,2025-12-23 19:45:08.064000+00:00,,Unknown,0.977,10.0,10.07,0.0
0x5d91c94fd64a08f9b9812c22f4da940b8ceda4ee,NVDA,Short,Bullish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-19 14:55:35+00:00,,,Unknown,,2025-11-13 15:09:28.348000+00:00,,Unknown,0.9107,100.0,25.4,-13.52
0x5d91c94fd64a08f9b9812c22f4da940b8ceda4ee,NVDA,Short,Bullish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-19 14:55:13+00:00,,,Unknown,,2025-11-13 15:09:28.348000+00:00,,Unknown,0.918,100.0,25.4,-13.52
0x70770e5aa200d39bfd34b388fdd1d69a03f0a8f1,NVDA,Short,Bullish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-17 10:49:31+00:00,2025-11-17 07:14:34.216000+00:00,-0.1,HL first,,2025-12-10 11:53:11.763000+00:00,,Unknown,0.94,20.0,58.77,81.61
0x99291427e58c442636d265a5d65df23b9453db68,GOOGL,Short,Bullish,Will Google (GOOGL) hit $345 before 2026??,2025-11-26 16:42:17+00:00,2025-11-25 08:38:12.399000+00:00,-1.3,HL first,,2026-05-13 18:52:23.623000+00:00,,Unknown,0.5,5.0,12.12,4.17
0x992fa1f4459042e59734c4e38bec152ff119ecdb,NVDA,Short,Bullish,Will NVIDIA be the largest company in the world by market cap on March 31?,2026-03-21 13:00:03+00:00,2026-03-17 17:33:56.290000+00:00,-3.8,HL first,,2026-04-10 08:16:33.864000+00:00,,Unknown,0.987,1019.06,14999.94,-47.62
0x992fa1f4459042e59734c4e38bec152ff119ecdb,NVDA,Short,Bullish,Will NVIDIA be the largest company in the world by market cap on March 31?,2026-03-21 09:10:55+00:00,2026-03-17 17:33:56.290000+00:00,-3.7,HL first,,2026-04-10 08:16:33.864000+00:00,,Unknown,0.987,2277.95,14999.94,-47.62
0x992fa1f4459042e59734c4e38bec152ff119ecdb,NVDA,Short,Bullish,Will NVIDIA be the largest company in the world by market cap on March 31?,2026-03-21 06:41:53+00:00,2026-03-17 17:33:56.290000+00:00,-3.5,HL first,,2026-04-10 08:16:33.864000+00:00,,Unknown,0.985,173.77,14999.94,-47.62
0x992fa1f4459042e59734c4e38bec152ff119ecdb,NVDA,Short,Bullish,Will NVIDIA be the largest company in the world by market cap on March 31?,2026-03-21 06:27:47+00:00,2026-03-17 17:33:56.290000+00:00,-3.5,HL first,,2026-04-10 08:16:33.864000+00:00,,Unknown,0.983,227.02,14999.94,-47.62
0x992fa1f4459042e59734c4e38bec152ff119ecdb,NVDA,Short,Bullish,Will NVIDIA be the largest company in the world by market cap on March 31?,2026-03-21 06:26:09+00:00,2026-03-17 17:33:56.290000+00:00,-3.5,HL first,,2026-04-10 08:16:33.864000+00:00,,Unknown,0.982,1719.82,14999.94,-47.62
0xa8da06619f2d7211f9625b57f37016f42a4bf105,AAPL,Short,Bullish,Will Apple be the second-largest company in the world by market cap on December 31?,2025-12-30 19:53:03+00:00,2025-12-05 10:03:24.640000+00:00,-25.4,HL first,,2026-06-13 11:21:18.430000+00:00,,Unknown,0.998,99.8,28.09,28.14
0xb6d3e41eb7715e1460aabbb492f7fd1285fe78b3,NVDA,Short,Bullish,Will NVIDIA be the largest company in the world by market cap on November 30?,2025-11-29 18:49:17+00:00,2025-11-19 22:50:57.169000+00:00,-9.8,HL first,,2026-02-12 18:17:53.103000+00:00,,Unknown,0.999,51.0,2000.26,-9.13
0xc4cee943e4f7140f568a38a0ebb967ba79600cc2,NVDA,Short,Bullish,"Will NVIDIA say ""Trump"" during earnings call?",2025-11-17 15:26:13+00:00,2025-11-12 23:35:12.749000+00:00,-4.7,HL first,,2025-11-25 13:48:19.402000+00:00,,Unknown,0.5143,15.0,909.37,-48.65
0xc80ee9083e9272eac75c19fa494625c9efd51166,TSLA,Long,Bearish,Will Tesla (TSLA) hit $350 before 2026??,2025-12-06 09:15:13+00:00,2025-12-06 09:27:27.503000+00:00,0.0,PM first,,2025-12-29 20:54:40.876000+00:00,,Unknown,0.96,1.0,568.6,-0.72
0xe091de93dd7f640c81790f401cac162c1bdf143e,XYZ100,Long,Bearish,Will Nasdaq (NDAQ) beat quarterly earnings?,2025-10-19 20:31:27+00:00,2025-10-19 10:16:36.064000+00:00,-0.4,HL first,,2025-10-19 19:19:58.975000+00:00,,Unknown,0.101,1.0,99.5,8.44
0xefd23d0db9ad1b53f4ba2b0f300707a9da4bd931,TSLA,Long,Bearish,Will Tesla (TSLA) hit a 52-Week High by December 31?,2025-12-05 21:47:49+00:00,2025-11-14 14:18:42.464000+00:00,-21.3,HL first,,2025-12-17 17:44:14.043000+00:00,,Unknown,0.61,5.0,1000.58,-49.19
0xefe1be7c6d0fcfb83808382c86899ddaba2a6b60,NVDA,Long,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-19 19:56:39+00:00,2025-11-19 17:56:08.707000+00:00,-0.1,HL first,,2026-05-20 22:20:53.528000+00:00,,Unknown,0.1332,249.96,276.65,1980.61
0xf26da589c149efa79b2be62f4b81b1b63a8ea7cd,NVDA,Long,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-17 18:51:45+00:00,2025-11-17 11:15:29.918000+00:00,-0.3,HL first,,2025-11-17 11:16:29.078000+00:00,,Unknown,0.07,0.7,5690.91,-2.86
0xf26da589c149efa79b2be62f4b81b1b63a8ea7cd,NVDA,Long,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-17 17:23:33+00:00,2025-11-17 11:15:29.918000+00:00,-0.3,HL first,,2025-11-17 11:16:29.078000+00:00,,Unknown,0.07,1.4,5690.91,-2.86
0xf26da589c149efa79b2be62f4b81b1b63a8ea7cd,NVDA,Long,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-17 16:44:53+00:00,2025-11-17 11:15:29.918000+00:00,-0.2,HL first,,2025-11-17 11:16:29.078000+00:00,,Unknown,0.94,60.53,5690.91,-2.86
0xf26da589c149efa79b2be62f4b81b1b63a8ea7cd,NVDA,Long,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-17 16:43:05+00:00,2025-11-17 11:15:29.918000+00:00,-0.2,HL first,,2025-11-17 11:16:29.078000+00:00,,Unknown,0.07,10.19,5690.91,-2.86
0xf26da589c149efa79b2be62f4b81b1b63a8ea7cd,NVDA,Long,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?,2025-11-17 16:42:49+00:00,2025-11-17 11:15:29.918000+00:00,-0.2,HL first,,2025-11-17 11:16:29.078000+00:00,,Unknown,0.07,12.04,5690.91,-2.86
0xfa6a68bfc3082177627ec216a8034396d84b2342,MSFT,Short,Bullish,Will Microsoft (MSFT) finish week of December 1 above $430?,2025-12-04 11:09:13+00:00,2025-12-04 11:22:34.162000+00:00,0.0,PM first,,2025-12-14 23:16:04.402000+00:00,,Unknown,0.999,24.98,99.65,3.1
